suburb,oldhouse,newhouse,oldunit,newunit
Ainslie,4700,4917,3477,3363
Amaroo,2294,2448,1920,1868
Aranda,4000,4114,2585,2493
Banks,2040,2096,2028,1995
Barton,7901,8170,2211,2137
Belconnen,2449,2532,1420,1377
Bonner,1999,2117,1711,1624
Bonython,2299,2363,1950,1886
Braddon,5544,5643,1746,1694
Bruce,3313,3335,1854,1787
Calwell,2284,2292,1887,1807
Campbell,5542,5670,1969,1922
Casey,2145,2269,1565,1495
Chapman,3497,3653,2247,2147
Charnwood,1957,2043,1720,1677
Chifley,3368,3552,2404,2302
Chisholm,2212,2238,2240,2199
Conder,2142,2197,1898,1826
Cook,3322,3431,2490,2369
Coombs,2775,2800,1638,1607
Crace,2326,2459,1377,1303
Curtin,3916,4090,2248,2154
Deakin,6265,6466,2708,2534
Denman Prospect,3136,3190,1447,1415
Dickson,4199,4374,1750,1677
Downer,3700,3883,2098,2009
Duffy,2770,2981,2038,1983
Dunlop,2021,2083,1788,1745
Evatt,2341,2483,1825,1787
Fadden,2756,2848,2469,2422
Farrer,3686,3850,2341,2269
Fisher,2724,2932,1846,1795
Florey,2477,2595,2123,2064
Flynn,2317,2425,2061,2014
Forde,2488,2616,1938,1787
Forrest,11587,12054,3209,3067
Franklin,2413,2528,1275,1208
Fraser,2349,2450,2045,1983
Garran,4320,4422,2278,2094
Gilmore,2232,2272,1963,1932
Giralang,2603,2723,2157,2103
Gordon,2204,2265,1757,1682
Gowrie,2245,2287,2241,2176
Greenway,2472,2512,1472,1435
Griffith,6831,7314,2071,1974
Gungahlin,2278,2375,1285,1262
Hackett,4058,4169,2130,2060
Hall,4249,4281,1714,1635
Harrison,2322,2452,1407,1344
Hawker,3395,3491,2250,2158
Higgins,2392,2495,2078,1992
Holder,2654,2789,2135,2058
Holt,2107,2189,1759,1682
Hughes,4133,4342,2541,2390
Isaacs,3345,3534,3245,2935
Isabella Plains,2157,2202,2016,1894
Jacka,2014,2040,1551,1473
Kaleen,2881,3020,2116,2012
Kambah,2421,2468,2058,1999
Kingston,4858,5107,2018,1942
Latham,2230,2252,1892,1851
Lawson,3073,3167,1645,1598
Lyneham,3763,3906,1680,1632
Lyons,3576,3802,1969,1892
Macarthur,2509,2542,2233,2090
Macgregor,1984,2040,1874,1801
Macquarie,3133,3284,1836,1793
Mawson,3523,3743,2636,2511
McKellar,2564,2685,2127,2083
Melba,2484,2527,1984,1946
Monash,2416,2437,1936,1874
Moncrieff,2082,2200,1627,1625
Narrabundah,4165,4406,2317,2165
Ngunnawal,1993,2071,1796,1722
Nicholls,2829,2955,2221,2183
O`Connor,4741,4958,2416,2314
O`Malley,5732,5993,4521,4273
Oaks Estate,2228,2368,1157,1127
Oxley,2468,2534,2217,2123
Page,2642,2738,1851,1841
Palmerston,2358,2446,2215,2183
Pearce,3801,3993,2377,2248
Phillip,2553,2719,1568,1525
Red Hill,6953,7164,4018,3796
Reid,6420,6466,2058,2008
Richardson,2164,2200,1787,1730
Rivett,2539,2682,2124,2069
Scullin,2335,2402,1921,1885
Spence,2247,2368,2021,1969
Stirling,2710,2898,2184,2102
Strathnairn,2065,2109,,
Taylor,2547,2441,1779,1761
Tharwa,2064,2087,,
Theodore,2142,2196,1935,1885
Throsby,2588,2598,2122,2098
Torrens,3373,3597,2449,2341
Turner,7517,7729,1897,1833
Uriarra Village,2060,2093,,
Wanniassa,2320,2374,2022,1973
Waramanga,2728,2896,2074,2024
Watson,3222,3348,1729,1668
Weetangera,3720,3694,2453,2556
Weston,2744,2903,2059,2005
Whitlam,2620,2572,,
Wright,2818,2875,1247,1281
Yarralumla,7098,7440,4824,4489
